FIGI,Name,Ticker,Exchange Code,Security Type,Market Sector,FIGI Composite,Share Class,Security Description,Security Type 2,bloomberg_url,exists_on_bloomberg
BBG00YC6JRZ0,PCF GROUP SA,PCF,PW,Common Stock,Equity,BBG00YC6JPX6,BBG00YC6JPY5,PCF,Common Stock,https://www.bloomberg.com/quote/PCF:PZ,True
BBG00YT5MV90,ANSWEAR.COM SA - A,ANR,PW,Common Stock,Equity,BBG00YDDQVV1,BBG00YDDQVW0,ANR,Common Stock,https://www.bloomberg.com/quote/ANR:PZ,True
BBG00YVJWL25,INCUVO SA,IVO,PW,Common Stock,Equity,BBG00YVJWL16,BBG00YVJWL52,IVO,Common Stock,https://www.bloomberg.com/quote/IVO:PZ,True
BBG00YYWMGX1,HUUUGE INC,HUG,PW,Common Stock,Equity,BBG00YYWMGW2,BBG00YYWMH14,HUG,Common Stock,https://www.bloomberg.com/quote/HUG:PZ,True
BBG00Z9DYCT9,SIMTERACT SA,SMT,PW,Common Stock,Equity,BBG00Z81Z4P7,BBG00Z81Z4Q6,SMT,Common Stock,https://www.bloomberg.com/quote/SMT:PZ,True
BBG01018MFH3,LEGIMI SA,LEG,PW,Common Stock,Equity,BBG01018MFG4,BBG01018MFL8,LEG,Common Stock,https://www.bloomberg.com/quote/LEG:PZ,True
BBG0105WSTX2,TENDERHUT SA,THG,PW,Common Stock,Equity,BBG0105WSTW3,BBG0105WSV12,THG,Common Stock,https://www.bloomberg.com/quote/THG:PZ,True
BBG010H54M50,DRAGO ENTERTAINMENT SA,DGE,PW,Common Stock,Equity,BBG010H54M41,BBG010H54M87,DGE,Common Stock,https://www.bloomberg.com/quote/DGE:PZ,True
BBG011MS0Y69,SHOPER SA,SHO,PW,Common Stock,Equity,BBG011JGMRY9,BBG011JGMS13,SHO,Common Stock,https://www.bloomberg.com/quote/SHO:PZ,True
BBG012FDPK07,CONSOLE LABS SA,CLA,PW,Common Stock,Equity,BBG012FDPF53,BBG012FDPF62,CLA,Common Stock,https://www.bloomberg.com/quote/CLA:PZ,True
BBG012GNQFM0,IMMERSION GAMES SA,IMG,PW,Common Stock,Equity,BBG012GNQ8Y3,BBG012GNQ8Z2,IMG,Common Stock,https://www.bloomberg.com/quote/IMG:PZ,True
BBG012J32RW0,WOODPECKER CO SP ZOO,WPR,PW,Common Stock,Equity,BBG012J32LX2,BBG012J32LY1,WPR,Common Stock,https://www.bloomberg.com/quote/WPR:PZ,True
BBG012T7Y562,POLTREG SA,PTG,PW,Common Stock,Equity,BBG012T7Y553,BBG012T7Y599,PTG,Common Stock,https://www.bloomberg.com/quote/PTG:PZ,True
BBG0131NNH70,CREOTECH INSTRUMENTS SA,CRI,PW,Common Stock,Equity,BBG01315GX27,BBG0131NMYX5,CRI,Common Stock,https://www.bloomberg.com/quote/CRI:PZ,True
BBG013B7P195,CONSTANCE CARE SA,CCR,PW,Common Stock,Equity,BBG013B7P186,BBG013B7P1D0,CCR,Common Stock,https://www.bloomberg.com/quote/CCR:PZ,True
BBG013QPJVN4,ZENERIS PROJEKTY SA,ZEN,PW,Common Stock,Equity,BBG013QPJVM5,BBG013QPJVR0,ZEN,Common Stock,https://www.bloomberg.com/quote/ZEN:PZ,True
BBG014HTXYX1,ROAD STUDIO SA,RST,PW,Common Stock,Equity,BBG014HTXYW2,BBG014HTXZ04,RST,Common Stock,https://www.bloomberg.com/quote/RST:PZ,True
BBG014KD4RD1,ECO5TECH SA,ECT,PW,Common Stock,Equity,BBG014KD4RC2,BBG014KD4RN0,ECT,Common Stock,https://www.bloomberg.com/quote/ECT:PZ,True
BBG014QYNHL1,ENEIDA SA,END,PW,Common Stock,Equity,BBG014QYNHJ4,BBG014QYNHR5,END,Common Stock,https://www.bloomberg.com/quote/END:PZ,True
BBG014SQQPH0,ONE SOLUTIONS SA,ONE,PW,Common Stock,Equity,BBG014SQQPG1,BBG014SQQPM4,ONE,Common Stock,https://www.bloomberg.com/quote/ONE:PZ,True
BBG016PSRVD4,BEEIN SA,BEE,PW,Common Stock,Equity,BBG016PSRVC5,BBG016PSRVH0,BEE,Common Stock,https://www.bloomberg.com/quote/BEE:PZ,True
BBG018QSQ5F5,WILDLANDS INTERACTIVE SA,WLI,PW,Common Stock,Equity,BBG018QSPBH1,BBG018QSPBJ9,WLI,Common Stock,https://www.bloomberg.com/quote/WLI:PZ,True
BBG01B2QWZ29,EMPLOCITY SA,EMP,PW,Common Stock,Equity,BBG01B2QWZ10,BBG01B2QWZ65,EMP,Common Stock,https://www.bloomberg.com/quote/EMP:PZ,True
BBG01BCDFP00,ALLIANZ SE-REG,ALV,PW,Common Stock,Equity,BBG01BCDFNZ7,BBG001S5XGR4,ALV,Common Stock,https://www.bloomberg.com/quote/ALV:PZ,True
BBG01BCDG996,BAYERISCHE MOTOREN WERKE AG,BMW,PW,Common Stock,Equity,BBG01BCDG978,BBG001S676R3,BMW,Common Stock,https://www.bloomberg.com/quote/BMW:PZ,True
BBG01BDB8X13,SIEMENS AG-REG,SIE,PW,Common Stock,Equity,BBG01BDB8X04,BBG001S69GV4,SIE,Common Stock,https://www.bloomberg.com/quote/SIE:PZ,True
BBG01BW2J1Z3,UF GAMES SA,UFG,PW,Common Stock,Equity,BBG01BW2J1Y4,BBG01BW2J281,UFG,Common Stock,https://www.bloomberg.com/quote/UFG:PZ,True
BBG01G96HVW8,JERONIMO MARTINS,JMT,PW,Common Stock,Equity,BBG01G96HVV9,BBG001S773N2,JMT,Common Stock,https://www.bloomberg.com/quote/JMT:PZ,True
BBG01G9FTF05,INDUSTRIA DE DISENO TEXTIL,ITX,PW,Common Stock,Equity,BBG01G9FTDZ2,BBG001S99R26,ITX,Common Stock,https://www.bloomberg.com/quote/ITX:PZ,True
BBG01H0DSR66,SAP SE,SAP,PW,Common Stock,Equity,BBG01H0DSR57,BBG001S6RK27,SAP,Common Stock,https://www.bloomberg.com/quote/SAP:PZ,True
BBG01H6YCKZ4,BAYER AG-REG,BAY,PW,Common Stock,Equity,BBG01H6YCKY5,BBG001S67NP8,BAY,Common Stock,https://www.bloomberg.com/quote/BAY:PZ,True
BBG01JNTVDD1,PLOT TWIST SA,PLT,PW,Common Stock,Equity,BBG01JNTVDC2,BBG01JNTVDH7,PLT,Common Stock,https://www.bloomberg.com/quote/PLT:PZ,True
BBG01JPJBLL6,PROSUS NV,PRX,PW,Common Stock,Equity,BBG01JPJBLK7,BBG00NQKSQ35,PRX,Common Stock,https://www.bloomberg.com/quote/PRX:PZ,True
BBG01JPPLM02,ASML HOLDING NV,ASML,PW,Common Stock,Equity,BBG01JPPLLZ6,BBG001S7Q066,ASML,Common Stock,https://www.bloomberg.com/quote/ASML:PZ,True
BBG01JS313Z4,DEMOLISH GAMES SA,DGS,PW,Common Stock,Equity,BBG01JS313Y5,BBG01JS31428,DGS,Common Stock,https://www.bloomberg.com/quote/DGS:PZ,True
BBG01K8H8QJ2,RED SQUARE GAMES SA,RSG,PW,Common Stock,Equity,BBG01K8H8QH4,BBG01K8H8QM8,RSG,Common Stock,https://www.bloomberg.com/quote/RSG:PZ,True
BBG01K8H95T6,SPACE FOX GAMES SA,FOX,PW,Common Stock,Equity,BBG01K8H95S7,BBG01K8H9641,FOX,Common Stock,https://www.bloomberg.com/quote/FOX:PZ,True
BBG01MLQW1V7,B-ACT SA,BAC,PW,Common Stock,Equity,BBG01MLQW1T0,BBG01MLQW1Y4,BAC,Common Stock,https://www.bloomberg.com/quote/BAC:PZ,True
BBG01NX3NNZ1,LICHTHUND SA,LHD,PW,Common Stock,Equity,BBG01NX3NNY2,BBG01NX3NP59,LHD,Common Stock,https://www.bloomberg.com/quote/LHD:PZ,True
BBG01NX6J0S7,ALPHABET INC-CL A,GOGL,PW,Common Stock,Equity,BBG01NX6J0R8,BBG009S39JY5,GOGL,Common Stock,https://www.bloomberg.com/quote/GOGL:PZ,True
BBG01NX6JN43,JPMORGAN CHASE & CO,JPM,PW,Common Stock,Equity,BBG01NX6JN34,BBG001S8CRC3,JPM,Common Stock,https://www.bloomberg.com/quote/JPM:PZ,True
BBG01PJGBVH8,FREEMIND SA,FRM,PW,Common Stock,Equity,BBG01PJGBVG9,BBG01PJGBVS6,FRM,Common Stock,https://www.bloomberg.com/quote/FRM:PZ,True
BBG01PPGQCT4,GAMEHUNTERS SA,GHT,PW,Common Stock,Equity,BBG01PPGQCS5,BBG01PPGQCZ7,GHT,Common Stock,https://www.bloomberg.com/quote/GHT:PZ,True
BBG01QMSDG05,G-DEVS SA,GDS,PW,Common Stock,Equity,BBG01QMSDFZ9,BBG01QMSDG69,GDS,Common Stock,https://www.bloomberg.com/quote/GDS:PZ,True
BBG01QS06370,ADVANCED MEDICAL EQUIPMENT S,AME,PW,Common Stock,Equity,BBG01QS06361,BBG01QS063G0,AME,Common Stock,https://www.bloomberg.com/quote/AME:PZ,True
BBG01R39RCR1,ADVANCED MICRO DEVICES,AMD,PW,Common Stock,Equity,BBG01R39RCQ2,BBG001S5NN36,AMD,Common Stock,https://www.bloomberg.com/quote/AMD:PZ,True
BBG01R39S130,INTEL CORP,INTL,PW,Common Stock,Equity,BBG01R39S121,BBG001S5SF65,INTL,Common Stock,https://www.bloomberg.com/quote/INTL:PZ,True
BBG01RQRT474,DIAGNOSTYKA SA-SERIES D/E/F,DIA,PW,Common Stock,Equity,BBG0024MHTR1,BBG0024MHTS0,DIA,Common Stock,https://www.bloomberg.com/quote/DIA:PZ,True
BBG01RRV2071,INSIDE PARK SA,ISD,PW,Common Stock,Equity,BBG01RRV2062,BBG01RRV20B6,ISD,Common Stock,https://www.bloomberg.com/quote/ISD:PZ,True
BBG01TB5PY54,KOLEJKOWO SA,KLK,PW,Common Stock,Equity,BBG01TB5PY45,BBG01TB5PYD5,KLK,Common Stock,https://www.bloomberg.com/quote/KLK:PZ,True
BBG01VCLXPH0,CARLSBERG AS-B,CARL,PW,Common Stock,Equity,BBG01VCLXPG1,BBG001S97P77,CARL,Common Stock,https://www.bloomberg.com/quote/CARL:PZ,True
BBG01VD0NZ11,ARLEN SA,ARL,PW,Common Stock,Equity,BBG001VD2D94,BBG001VD2DB1,ARL,Common Stock,https://www.bloomberg.com/quote/ARL:PZ,True
BBG01VT8M1B2,GREEN LANES SA,GRL,PW,Common Stock,Equity,BBG01VT8M195,BBG01VT8M1F8,GRL,Common Stock,https://www.bloomberg.com/quote/GRL:PZ,True
BBG01WXRVH91,RHEINMETALL AG,RHM,PW,Common Stock,Equity,BBG01WXRVH73,BBG001S699S4,RHM,Common Stock,https://www.bloomberg.com/quote/RHM:PZ,True
