FIGI,Name,Ticker,Exchange Code,Security Type,Market Sector,FIGI Composite,Share Class,Security Description,Security Type 2,bloomberg_url,exists_on_bloomberg
BBG001Y6NBF0,AC SA,ACG,PW,Common Stock,Equity,BBG001BSYF11,BBG001TTMDC6,ACG,Common Stock,https://www.bloomberg.com/quote/ACG:PZ,True
BBG001YB1D96,SYNTHAVERSE SA,SVE,PW,Common Stock,Equity,BBG001BLF582,BBG001TQD1T0,SVE,Common Stock,https://www.bloomberg.com/quote/SVE:PZ,True
BBG001YB2G16,SUNEX SA,SNX,PW,Common Stock,Equity,BBG001BMVMB1,BBG001TQG830,SNX,Common Stock,https://www.bloomberg.com/quote/SNX:PZ,True
BBG001Z51PK8,YOSHI SA,YOS,PW,Common Stock,Equity,BBG001Z51PJ0,BBG001Z51PN5,YOS,Common Stock,https://www.bloomberg.com/quote/YOS:PZ,True
BBG0020B44H9,WITTCHEN SA,WTN,PW,Common Stock,Equity,BBG001BLDLT6,BBG001TQCHG0,WTN,Common Stock,https://www.bloomberg.com/quote/WTN:PZ,True
BBG00212ZHD9,STEM CELLS SPIN SA,SCS,PW,Common Stock,Equity,BBG00212ZHC0,BBG00212ZHH5,SCS,Common Stock,https://www.bloomberg.com/quote/SCS:PZ,True
BBG0021SVBX7,MEX POLSKA SA,MEX,PW,Common Stock,Equity,BBG001MC8KP6,BBG001V11BT3,MEX,Common Stock,https://www.bloomberg.com/quote/MEX:PZ,True
BBG0021VQFB1,MARKA SA,MRK,PW,Common Stock,Equity,BBG0021VQF94,BBG0021VQFF7,MRK,Common Stock,https://www.bloomberg.com/quote/MRK:PZ,True
BBG0022F6NW7,GARIN AI SA,GAR,PW,Common Stock,Equity,BBG0022F6NV8,BBG0022F6NZ4,GAR,Common Stock,https://www.bloomberg.com/quote/GAR:PZ,True
BBG0024CN9T8,MM CONFERENCES SA,MMC,PW,Common Stock,Equity,BBG0024CN9S9,BBG0024CN9X3,MMC,Common Stock,https://www.bloomberg.com/quote/MMC:PZ,True
BBG00256LV13,AILLERON SA,ALL,PW,Common Stock,Equity,BBG00256LTC6,BBG00256LTD5,ALL,Common Stock,https://www.bloomberg.com/quote/ALL:PZ,True
BBG002976FB8,SOPHARMA AD SOFIA,SPH,PW,Common Stock,Equity,BBG002976F91,BBG001S9RDN4,SPH,Common Stock,https://www.bloomberg.com/quote/SPH:PZ,True
BBG002B22VN2,GRUPA HRC SA,HRC,PW,Common Stock,Equity,BBG002B22VM3,BBG002B22VR8,HRC,Common Stock,https://www.bloomberg.com/quote/HRC:PZ,True
BBG002B24SW7,ADVERTIGO SA,AVE,PW,Common Stock,Equity,BBG002B24SV8,BBG002B24SZ4,AVE,Common Stock,https://www.bloomberg.com/quote/AVE:PZ,True
BBG002CPKK18,SFD SA,SFD,PW,Common Stock,Equity,BBG002CPKK09,BBG002CPKK45,SFD,Common Stock,https://www.bloomberg.com/quote/SFD:PZ,True
BBG002CYXTC4,QUART DEVELOPMENT SA,QRT,PW,Common Stock,Equity,BBG002CYWC05,BBG002CYWC14,QRT,Common Stock,https://www.bloomberg.com/quote/QRT:PZ,True
BBG002D94015,MBFGROUP,MBF,PW,Common Stock,Equity,BBG002D94006,BBG002D94042,MBF,Common Stock,https://www.bloomberg.com/quote/MBF:PZ,True
BBG002QD4067,SYGNIS SA,SYG,PW,Common Stock,Equity,BBG002QD4058,BBG002QD4094,SYG,Common Stock,https://www.bloomberg.com/quote/SYG:PZ,True
BBG002VBX3P6,EDITEL POLSKA SA,EDL,PW,Common Stock,Equity,BBG002VBX3N8,BBG002VBX3S3,EDL,Common Stock,https://www.bloomberg.com/quote/EDL:PZ,True
BBG002W24778,KRKA,KRK,PW,Common Stock,Equity,BBG002W24769,BBG001S6P6H4,KRK,Common Stock,https://www.bloomberg.com/quote/KRK:PZ,True
BBG002ZCCZ72,TRUE GAMES SYNDICATE SA,TGS,PW,Common Stock,Equity,BBG002ZCCZ63,BBG002ZCCZB7,TGS,Common Stock,https://www.bloomberg.com/quote/TGS:PZ,True
