a_re,a_im,r_norm,cx_px,cy_px,r_px
-0.027474678235176297,-0.46992089868060744,0.04866003403483281,967.7318589743589,61.96294871794872,99.65574970333759
0.14084556014014915,-0.4856939462988237,0.022213581927236145,1312.4517071670255,29.470470624423253,45.493415786979625
0.2310481610764975,-0.4831099643680206,0.018426510595889057,1497.186633884667,34.79347340187751,37.73749370038079
0.4574354703312692,-0.4492646148082398,0.05145049707558333,1960.8278432384393,104.51489349502594,105.37061801079466
-0.04095607850609756,-0.49178309258820746,0.0017639531234969646,940.1219512195122,16.926829268292682,3.6125759969217834
-0.124286329034135,-0.4543128186974173,0.009890575671453012,769.4615981380915,94.11559348332041,20.255898975135768
0.3765758571702891,-0.4275124176392344,0.02582498842122405,1795.227355484752,149.32441966317705,52.88957628666685
-0.22606169871794873,-0.43750844624631036,0.004551729394677589,561.025641025641,128.73260073260073,9.321941800299703
-0.12702846714954036,-0.4154099917765779,0.010750905959721318,763.8456992777413,174.25541694024952,22.01785540550926
0.1950831203299681,-0.3779677438647555,0.04078174913975741,1423.5302304357747,251.3864476386037,83.52102223822318
-0.1544844527610123,-0.3866132363967328,0.02318482019943229,707.6158407454468,233.57673302273048,47.48251176843733
0.08197612428545908,-0.3763417586724801,0.014574597187826378,1191.8871025366202,254.73597713469096,29.84877504066842
0.36386101661475834,-0.30369154283597144,0.07346626010036753,1769.187362027025,404.39542175789876,150.4589006855527
0.30703125,-0.3866747572815534,0.0012319983017676564,1652.8,233.45,2.5231325220201604
0.31233723958333337,-0.38098049505816495,0.0029023955582154993,1663.6666666666667,245.18018018018017,5.944106103225343
0.07674998118503884,-0.3259595931420245,0.02996821624431289,1181.1839614669595,358.52323812742947,61.374906868352795
0.15959661205523534,-0.3046643513356352,0.029589767836278418,1350.853861489122,402.3914362485915,60.5998445286982
-0.08696921743383018,-0.22501083603866817,0.06778510187828247,845.8870426955158,566.4776777603436,138.8238886467225
-0.3016043575719046,-0.2807778228044665,0.014709358065797717,406.3142756927394,451.597685022799,30.124765318753724
0.09950322690217395,-0.2825242718446602,0.0013211709911635765,1227.7826086956522,448.0,2.7057581899030048
0.09238393278301882,-0.10198468217622275,0.10027739664587593,1213.2022943396225,819.9115547169812,205.3681083307539
-0.3541423740671642,-0.267527351108535,0.006377897071681608,298.7164179104478,478.8936567164179,13.061933202803933
0.1160888671875,-0.2644012944983819,0.0013495865213724043,1261.75,485.3333333333333,2.763953195770684
-0.21457150528618885,-0.21386282981117144,0.024372090284150345,584.5575571738852,589.4425705889869,49.914040901939906
0.2569323244567425,-0.16203720499817287,0.016741129858610395,1550.1974004874087,696.2033577037639,34.28583395043409
-0.24041664073814267,-0.15276762301132568,0.020474907400455492,531.6267197682838,715.2986965966691,41.93261035613285
0.33085865019784,-0.11386817820128448,0.04891514241261334,1701.5985156051763,795.431552905354,100.17821166103212
0.14492910879629628,-0.1534699748291981,0.0014314526715905856,1320.8148148148148,713.8518518518518,2.9316150714175193
-0.4247982984748119,-0.12182528718109953,0.015231505467553093,154.01308472358522,779.039908406935,31.194123197548734
0.01913686899038458,-0.1397498132935026,0.0014046941874393535,1063.1923076923076,742.1153846153846,2.876813695875796
0.030200855152026973,-0.13722120178430858,0.002369796049782774,1085.8513513513512,747.3243243243244,4.853342309955121
0.023553757440476164,-0.13712436430883035,0.001262422594195901,1072.2380952380952,747.5238095238095,2.5854414729132054
0.016826923076923128,-0.1358725416977844,0.0017203920019399238,1058.4615384615386,750.1025641025641,3.523362819972964
-0.4380048331567797,-0.12989139377982556,0.0021160265725877,126.96610169491525,762.4237288135594,4.3336224206596095
-0.22783113846604497,-0.07295979435032646,0.04435536094912073,557.4018284215399,879.7028236383275,90.83977922379925
-0.17805643284574468,-0.1233835984300764,0.0018886176337634397,659.3404255319149,775.8297872340426,3.8678889139475245
-0.04915006246378911,-0.10860005174993531,0.008092831707217474,923.3406720741599,806.2838933951333,16.574119336381386
-0.05302290482954547,-0.10163283318623123,0.0012921307198245184,915.4090909090909,820.6363636363636,2.6462837142006137
-0.04843284970238093,-0.10040453074433658,0.0017853351541580694,924.8095238095239,823.1666666666666,3.656366395715726
-0.08753932883522725,-0.07956743159752871,0.020430380546591808,844.7194545454546,866.0910909090909,41.84141935942002
-0.15018694860229975,-0.08039639521723396,0.013834633307099718,716.4171292624901,864.383425852498,28.333329012940222
0.37161217916701716,-0.041086630558350434,0.02123902185092226,1785.0617429340512,945.3615410497981,43.49751675068879
0.4943229718396893,-0.034978333607591505,0.01158995486086626,2036.3734463276837,957.9446327683615,23.7362275550541
-0.3561895461309524,-0.025718523655416825,0.016937176421721996,294.5238095238095,977.0198412698413,34.68733731168665
0.19390447739768935,-0.017611953207775644,0.023349536992166964,1421.1163697104678,993.7193763919822,47.81985175995794
-0.09478431241983143,0.025149958321956434,0.056261330719742514,829.8817281641852,1081.8089141432304,115.22320531403267
0.22098921589328302,0.03819664438853465,0.04885459712212932,1476.5859141494436,1108.6850874403815,100.05421490612085
-0.3646612127439609,0.02948354058266134,0.03879229892820694,277.1738363003681,1090.7360936002824,79.44662820496781
-0.006466013614295718,0.011253185892572293,0.012734953760906,1010.7576041179224,1053.181562938699,26.081185302335488
0.4851920057440432,0.03339420751726718,0.022644986745114285,2017.6732277638005,1098.7920674855704,46.376932853994056
0.33009289931790864,0.14406094964047678,0.09351954581914826,1700.030257803077,1326.7655562593823,191.52802983761563
0.046084698919852674,0.12931412120947272,0.05258482803988498,1118.3814633878583,1296.387089691514,107.69372782568443
0.007965087890625,0.06416868932038833,0.0015583682828180965,1040.3125,1162.1875,3.1915382432114616
0.4798084988211825,0.09682361931323968,0.014464835345579428,2006.6478055857817,1229.4566557852738,29.62398278774667
-0.14266440464708757,0.10874852026680559,0.01868621011787054,731.8232992827647,1254.0219517496196,38.26935832139887
0.13315201861531234,0.11636396442048935,0.019592259475484614,1296.6953341241597,1269.709766706208,40.12494740579249
-0.167421875,0.10184466019417471,0.0013774159754583893,681.12,1239.8,2.8209479177387813
-0.166473388671875,0.10690230582524274,0.0015583682828180965,683.0625,1250.21875,3.1915382432114616
-0.12156394675925924,0.10812657317511687,0.0014314526715905856,775.0370370370371,1252.7407407407406,2.9316150714175193
-0.16306966145833335,0.11351132686084142,0.0015088836016530843,690.0333333333333,1263.8333333333333,3.0901936161855166
0.0106353759765625,0.11929611650485439,0.0015583682828180965,1045.78125,1275.75,3.1915382432114616
-0.010175781250000016,0.12120388349514566,0.0013774159754583893,1003.16,1279.68,2.8209479177387813
-0.15403238932291669,0.12146035598705496,0.0013495865213724043,708.5416666666666,1280.2083333333333,2.763953195770684
-0.09357319722284307,0.15058938158334456,0.018426510595889057,832.3620920876174,1340.2141260616897,37.73749370038079
0.4985059655230978,0.1488892992823977,0.003736835867834869,2044.9402173913043,1336.7119565217392,7.653039857325812
0.46190655048076923,0.14330843913368185,0.002221016524153921,1969.9846153846154,1325.2153846153847,4.54864184146723
0.45819051016146994,0.15282775098925339,0.0082553079723637,1962.3741648106904,1344.825167037862,16.906870727400857
0.4714185138081395,0.15231429216527437,0.0018064641162919724,1989.4651162790697,1343.7674418604652,3.6996385101659595
0.4456602154356061,0.1559208590761989,0.0022380360567566117,1936.7121212121212,1351.1969696969697,4.583497844237541
0.46995907738095233,0.15739713361072583,0.001262422594195901,1986.4761904761904,1354.2380952380952,2.5854414729132054
0.46375093005952384,0.16289875173370327,0.001262422594195901,1973.7619047619048,1365.5714285714287,2.5854414729132054
0.45964843749999995,0.1651456310679612,0.0013774159754583893,1965.36,1370.2,2.8209479177387813
0.14624365714584642,0.2278233858893175,0.0380884783065786,1323.5070098346935,1499.316174931994,78.00520357187297
0.415025595053925,0.21529847159473225,0.010359047299823383,1873.9724186704384,1473.5148514851485,21.215328870038288
-0.0465761516569303,0.24781320618911706,0.03157619098055219,928.6120414066067,1540.4952047495813,64.66803912817089
0.41564754673263393,0.2822038394001787,0.05218861722664006,1875.2461757084343,1611.339909164368,106.88228808015884
0.14489272666499964,0.34224018348058804,0.06489252111210655,1320.7403042099193,1735.0147779700114,132.89988323759422
-0.13958840292008196,0.2962199586184944,0.0043031850703650135,738.1229508196722,1640.2131147540983,8.812923024107548
-0.11907736004289304,0.3324372507657425,0.022651688428227894,780.129566632155,1714.8207365774294,46.39065790101073
0.4354912713447846,0.3843488852244097,0.058127606964458206,1915.8861237141189,1821.758703562284,119.0453390632104
0.282327225232613,0.39127146083992537,0.029748358668358812,1602.2061572763914,1836.0192093302462,60.92463855279885
0.24466646634615385,0.4095780433159074,0.0014046941874393535,1525.076923076923,1873.7307692307693,2.876813695875796
-0.08556744512177145,0.4534957295980818,0.035874216668966556,848.7578723906121,1964.2012029720486,73.4703957380435
0.21652560763888884,0.415480043149946,0.0014314526715905856,1467.4444444444443,1885.888888888889,2.9316150714175193
0.20980980282738093,0.4182616736014795,0.0017853351541580694,1453.6904761904761,1891.6190476190477,3.656366395715726
0.20533854166666665,0.4240722761596548,0.002613463060770661,1444.5333333333333,1903.588888888889,5.352372348458314
0.24181111947467504,0.46307649011199004,0.04288610685878211,1519.2291726841345,1983.9375696306995,87.83074684678576
0.4695798170120321,0.4774709689701123,0.02063367292229205,1985.6994652406418,2013.5901960784313,42.25776214485412
0.3807558001893939,0.492141806413651,0.0035386457124663823,1803.7878787878788,2043.8121212121212,7.247146419131151
